maquina_for_name,maquina_loc_name,gov_modelo,gov_dsl,param,valor
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Tact,0.3
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Kturb,1.3
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Wfnl,0.22
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Tc,0.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Tb,0.1
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,flag,0.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Teng,0.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Tsa,1.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Tsb,1.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Tfload,0.3
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Kpload,1.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Kiload,3.3
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Ldref,1.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Dm,0.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Kimw,0.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Aset,99.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Ka,10.0
G5EMA3G1,EDM3 TG1,gov_IEEE_GGOV1,gov_EDM3 GT1,Ta,0.1
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Trate,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,R,0.05
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Rselect,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,db,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tpelec,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kpgov,3.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kigov,1.2
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kdgov,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tdgov,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tact,0.3
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kturb,1.3
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Wfnl,0.22
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tc,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tb,0.1
