for_name,loc_name,area,P_desp_MW,Pmin_MW,Pmax_MW,num_unidades,sgn_MVA,tiene_gobernador,gov_modelo,estatismo_droop,droop_param,margen_subida_MW,station_controller,ref_slack,outserv
G3PIMEN3,Pimentel 3,NORTE,8.526670455932617,0.0,17.200000762939453,3,21.344999313354492,1,gov_GGOV1,0.04,r,8.673,138 kV Nodo Piloto Pimentel,0,0
G3PIMEN2,Pimentel 2,NORTE,3.944999933242798,0.0,6.969600200653076,4,8.711999893188477,1,gov_DEGOV1_PIME2,0.047,Droop,3.025,138 kV Nodo Piloto Pimentel,0,0
G3PIMEN1,Pimentel 1,NORTE,3.055000066757202,0.0,7.856800079345703,4,9.821000099182129,1,gov_DEGOV1_PIME1,0.0593,Droop,4.802,138 kV Nodo Piloto Pimentel,0,0
G3LANGOS,López Angostura,NORTE,4.0,0.0,18.399999618530273,1,23.0,1,gov_HYGOV,0.04,R,14.4,138 kV Nodo Piloto Canabacoa,0,0
G3BAIGU2,Baiguaque 2,NORTE,1.000000013351432e-10,0.0,0.656000018119812,1,0.8199999928474426,0,,,,0.656,,0,1
G3BAIGU1,Baiguaque 1,NORTE,0.10000000149011612,0.0,0.656000018119812,1,0.8199999928474426,0,,,,0.556,,0,0
G3TAVER2,Tavera 2,NORTE,45.099998474121094,0.0,48.0,1,60.0,1,gov_HYGOV_TAVERA2,0.049,R,2.9,138 kV Nodo Piloto Canabacoa,0,0
G3TAVER1,Tavera 1,NORTE,1.000000013351432e-10,0.0,48.0,1,60.0,1,gov_HYGOV_TAVERA1,0.021,R,48.0,138 kV Nodo Piloto Canabacoa,0,1
G3SFELIG,San Felipe TG,NORTE,1.000000013351432e-10,0.0,88.67040252685547,1,101.91999816894531,1,gov_GAST,0.047,R,88.67,,0,1
G3SFV,San Felipe Vapor,NORTE,1.000000013351432e-10,0.0,124.73190307617188,1,143.3699951171875,1,gov_TGOV1,0.0429,R,124.732,,0,1
G3PIMEN4,Pimentel 4,NORTE,17.55500030517578,0.0,18.100000381469727,2,22.665000915527344,1,Governor_Engine Frame,,,0.545,138 kV Nodo Piloto Pimentel,0,0
G3LTORO1,Los Toros 1,SUR,1.000000013351432e-10,0.0,4.724999904632568,1,5.25,1,gov_HYGOV_LTOROS1,0.017,R,4.725,,0,1
G3LTORO2,Los Toros 2,SUR,1.000000013351432e-10,0.0,4.724999904632568,1,5.25,1,gov_HYGOV_LTOROS2,0.043,R,4.725,,0,1
G3NNAJAY,Nizao Najayo,SUR,1.000000013351432e-10,0.0,0.35100001096725464,1,0.38999998569488525,0,,,,0.351,,0,1
G3LANONE,Los Anones,SUR,1.000000013351432e-10,0.0,0.1160999983549118,1,0.1289999932050705,0,,,,0.116,,0,1
G3SYEGUA,Sabana Yegua,SUR,1.000000013351432e-10,0.0,12.800000190734863,1,16.0,1,gov_HYGOV,0.0293,R,12.8,138 kV Nodo Piloto Kilómetro 15 de Azua,0,1
G3SABANE,Sabaneta,SUR,1.000000013351432e-10,0.0,6.360000133514404,1,7.949999809265137,1,gov_HYGOV,0.033,R,6.36,,0,1
G3MAGUE2,Magueyal 2,SUR,1.000000013351432e-10,0.0,1.5119999647140503,1,1.6799999475479126,0,,,,1.512,138 kV Nodo Piloto Kilómetro 15 de Azua,0,1
G3MAGUE1,Magueyal 1,SUR,1.000000013351432e-10,0.0,1.5119999647140503,1,1.6799999475479126,0,,,,1.512,138 kV Nodo Piloto Kilómetro 15 de Azua,0,1
G3LDAMAS,Las Damas,SUR,1.840000033378601,0.0,7.49970006942749,1,8.333000183105469,1,gov_HYGOV_LDAMAS,0.06,R,5.66,,0,0
G3DRODR2,Domingo Rodríguez 2,SUR,1.000000013351432e-10,0.0,2.4000000953674316,1,3.0,0,,,,2.4,,0,1
G3DRODR1,Domingo Rodríguez 1,SUR,1.000000013351432e-10,0.0,2.4000000953674316,1,3.0,0,,,,2.4,,0,1
G3HTG,Haina TG,SUR,1.000000013351432e-10,0.0,100.30000305175781,1,118.0,1,gov_GGOV1,0.04,r,100.3,138 kV Nodo Piloto Itabo,0,1
G3VALDE2,Valdesia 2,SUR,1.000000013351432e-10,0.0,25.5,1,30.0,1,gov_HYGOV,0.0534,R,25.5,138 kV Nodo Piloto Valdesia,0,1
G3VALDE1,Valdesia 1,SUR,1.000000013351432e-10,0.0,25.5,1,30.0,1,gov_HYGOV,0.0494,R,25.5,138 kV Nodo Piloto Valdesia,0,1
G3LBARIA,Las Barías,SUR,1.000000013351432e-10,0.0,0.8999999761581421,1,1.0,0,,,,0.9,,0,1
G3BCARBO,Barahona Carbón,SUR,50.0,0.0,53.70000076293945,1,65.0,1,gov_TGOV1,0.04,R,3.7,138 kV Nodo Piloto Cruce Cabral 2,0,0
G3JIGUE2,Jigüey 2,SUR,37.349998474121094,0.0,49.0,1,61.25,1,gov_HYGOV_JIGUEY1,0.035,R,11.65,138 kV Nodo Piloto Valdesia,0,0
G3JIGUE1,Jigüey 1,SUR,1.000000013351432e-10,0.0,49.0,1,61.25,1,gov_HYGOV_JIGUEY2,0.039,R,49.0,138 kV Nodo Piloto Valdesia,0,1
G3AGUAC2,Aguacate 2,SUR,27.15999984741211,0.0,28.235200881958008,1,35.29399871826172,1,pcu_Reivax_RTVX100,0.04,bp,1.075,138 kV Nodo Piloto Valdesia,0,0
G3AGUAC1,Aguacate 1,SUR,25.0,0.0,28.235200881958008,1,35.29399871826172,1,pcu_Reivax_RTVX100,0.04,bp,3.235,138 kV Nodo Piloto Valdesia,0,0
G4MRIO3,Monte Río Grupo 2,SUR,5.764510154724121,0.0,7.806399822235107,7,9.758000373840332,1,gov_DEGOV1,0.0565,Droop,2.042,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G4MRIO1,Monte Río Grupo 1,SUR,7.806399822235107,0.0,7.806399822235107,6,9.758000373840332,1,gov_DEGOV1,0.057,Droop,0.0,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G3ITABO2,Itabo 2,SUR,1.000000013351432e-10,0.0,132.0050048828125,1,155.3000030517578,1,gov_TGOV1,0.04,R,132.005,138 kV Nodo Piloto Itabo,0,1
G3ITABO1,Itabo 1,SUR,120.0,0.0,132.0050048828125,1,150.60000610351562,1,gov_TGOV1,0.04,R,12.005,138 kV Nodo Piloto Itabo,0,0
G3SLORE1,San Lorenzo 1,SUR,1.000000013351432e-10,0.0,42.72959899902344,1,53.4119987487793,0,,,,42.73,,0,1
G3PALOM2,Palomino 2,SUR,35.0,0.0,40.0,1,48.0,1,pcu_VOITH SIEMENS,,,5.0,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G3PALOM1,Palomino 1,SUR,1.000000013351432e-10,0.0,40.0,1,48.0,1,pcu_VOITH SIEMENS,,,40.0,138 kV Nodo Piloto Kilómetro 15 de Azua,0,1
G4PAK262,POWERSHIP AZUA KPS26 2,SUR,16.75527000427246,0.0,18.164730072021484,3,21.724000930786133,0,,,,1.409,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G4PAK261,POWERSHIP AZUA KPS26 1,SUR,18.164730072021484,0.0,18.164730072021484,3,21.724000930786133,0,,,,0.0,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G4PAK601,POWERSHIP AZUA KPS60,SUR,18.464550018310547,0.0,18.464550018310547,4,21.722999572753906,0,,,,0.0,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G5PAK6TV,POWERSHIP AZUA TV,SUR,1.4817999601364136,0.0,6.0,1,7.059000015258789,0,,,,4.518,138 kV Nodo Piloto Kilómetro 15 de Azua,0,0
G3PALENQ,Palenque,SUR,6.0,0.0,25.799999237060547,4,8.057999610900879,1,gov_DEGOV1_CEPP1,0.0411,Droop,19.8,,0,0
G4PAK561,POWERSHIP AZUA KPS56,SUR,8.125,0.0,8.125,8,8.579999923706055,0,,,,0.0,,0,0
G3LMINA6,Los Mina 6,CENTRAL,101.09124755859375,0.0,105.0,1,153.75,1,gov_GAST,0.053,R,3.909,138 kV Nodo Piloto Los Mina,0,0
G5AANDRV,AES Andrés TV,CENTRAL,100.80999755859375,0.0,121.31999969482422,1,134.8000030517578,1,pcu_IEESGO,,,20.51,138 kV Nodo Piloto AES Andrés,0,0
G5AANDRG,AES Andrés TG,CENTRAL,195.69000244140625,0.0,196.8000030517578,1,218.6699981689453,1,pcu_GASTWD,0.02,Kdroop,1.11,138 kV Nodo Piloto AES Andrés,0,0
G3METALD,METALDOM,CENTRAL,9.729999542236328,0.0,10.503999710083008,4,15.0,1,gov_DEGOV1,0.044,Droop,0.774,,0,0
G3LMINA5,Los Mina 5,CENTRAL,101.09124755859375,0.0,105.0,1,153.75,1,gov_GAST,0.053,R,3.909,138 kV Nodo Piloto Los Mina,0,0
G4EMAR21,EDM2 Grupo 1,CENTRAL,18.14324951171875,0.0,18.14324951171875,3,21.344999313354492,1,gov_GGOV1,0.04,r,0.0,,0,0
G4EMAR22,EDM2 Grupo 2,CENTRAL,16.35342025756836,0.0,18.14324951171875,3,21.344999313354492,1,gov_GGOV1,0.04,r,1.79,,0,0
G4EMAR23,EDM2 TV,CENTRAL,1.000000013351432e-10,0.0,8.800000190734863,1,11.0,1,gov_GGOV1,0.04,r,8.8,,0,1
