escenario,clase,for_name,loc_name,barra_for_name,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_ctrl_av,num_unidades,outserv,ref_slack
P16,sym,G3TAVER2,Tavera 2,WTAV2K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P16,sym,G3TAVER1,Tavera 1,WTAV1K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3SFELIG,San Felipe TG,,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3SFV,San Felipe Vapor,WSFEVK,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3PIMEN4,Pimentel 4,WXPI4K,17.315000534057617,0.0,1.0,constv,2,0,0
P16,sym,G3LTORO1,Los Toros 1,WLTO1K,1.000000013351432e-10,6.00007751816456e-11,1.0,constq,1,1,0
P16,sym,G3LTORO2,Los Toros 2,WLTO1K,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P16,sym,G3NNAJAY,Nizao Najayo,WXNNAK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P16,sym,G3LANONE,Los Anones,WXLANK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P16,sym,G3SYEGUA,Sabana Yegua,WSYEGK,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3SABANE,Sabaneta,WSABAK,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3MAGUE2,Magueyal 2,WMAGUK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P16,sym,G3MAGUE1,Magueyal 1,WMAGUK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P16,sym,G3LDAMAS,Las Damas,,1.600000023841858,0.7749155759811401,1.0479999780654907,constv,1,0,0
P16,sym,G3DRODR2,Domingo Rodríguez 2,WDRODL,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P16,sym,G3DRODR1,Domingo Rodríguez 1,WDRODL,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P16,sym,G3HTG,Haina TG,WHAIGK,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P16,sym,G3VALDE2,Valdesia 2,WVAL2K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P16,sym,G3VALDE1,Valdesia 1,WVAL1K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3LBARIA,Las Barías,WLBARK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P16,sym,G3BCARBO,Barahona Carbón,WBCARK,50.0,0.0,1.0,constv,1,0,0
P16,sym,G3JIGUE2,Jigüey 2,WJIG2K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3JIGUE1,Jigüey 1,WJIG1K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3AGUAC2,Aguacate 2,WAGU2K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P16,sym,G3AGUAC1,Aguacate 1,WAGU1K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P16,sym,G4MRIO3,Monte Río Grupo 2,WMRI3K,1.000000013351432e-10,0.0,1.0199999809265137,constv,7,1,0
P16,sym,G4MRIO1,Monte Río Grupo 1,WMRI1K,1.000000013351432e-10,0.0,1.0199999809265137,constv,6,1,0
P16,sym,G3ITABO2,Itabo 2,WITA2K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3ITABO1,Itabo 1,WITA1K,120.0,0.0,1.0,constv,1,0,0
P16,sym,G3SLORE1,San Lorenzo 1,,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P16,sym,G3PALOM2,Palomino 2,WPLM1K,1.000000013351432e-10,0.0,1.0199999809265137,constv,1,1,0
P16,sym,G3PALOM1,Palomino 1,WPLM2K,1.000000013351432e-10,0.0,1.0199999809265137,constv,1,1,0
P16,sym,G4PAK262,POWERSHIP AZUA KPS26 2,WXPA2K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,3,1,0
P16,sym,G4PAK261,POWERSHIP AZUA KPS26 1,WXPA1K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,3,1,0
P16,sym,G4PAK601,POWERSHIP AZUA KPS60,WXPA3K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,4,1,0
P16,sym,G5PAK6TV,POWERSHIP AZUA TV,WXPA3K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,1,1,0
P16,sym,G3PALENQ,Palenque,WPAQ2K,1.000000013351432e-10,0.0,1.0,constq,4,1,0
P16,sym,G4PAK561,POWERSHIP AZUA KPS56,WXPA4K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,8,1,0
P16,sym,G3LMINA6,Los Mina 6,WLMI6K,83.0374984741211,0.0,1.0,constv,1,0,0
P16,sym,G5AANDRV,AES Andrés TV,WAANVK,83.80999755859375,0.0,1.0,constv,1,0,0
P16,sym,G5AANDRG,AES Andrés TG,WAANGK,162.69000244140625,0.0,1.0,constv,1,0,0
P16,sym,G3METALD,METALDOM,WMETAK,1.000000013351432e-10,0.0,0.9900000095367432,constv,4,1,0
P16,sym,G3LMINA5,Los Mina 5,WLMI5K,83.0374984741211,0.0,1.0,constv,1,0,0
P16,sym,G4EMAR21,EDM2 Grupo 1,,16.333330154418945,0.0,1.0,constq,3,0,0
P16,sym,G4EMAR22,EDM2 Grupo 2,,1.000000013351432e-10,0.0,1.0,constq,3,1,0
P16,sym,G4EMAR23,EDM2 TV,,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P16,sym,G3LMINA7,Los Mina 7,WLMI7K,89.42500305175781,43.31050491333008,1.0,constv,1,0,0
P16,sym,G4SIBA1,SIBA Grupo 1,WXSI1K,9.899999618530273,4.7947893142700195,1.0,constv,2,0,0
P16,sym,G4SIBA2,SIBA Grupo 2,WXSI2K,16.700000762939453,8.08818244934082,1.0,constv,2,0,0
P16,sym,G4SIBA3,SIBA Grupo 3,WXSI3K,1.000000013351432e-10,0.0,1.0,constv,2,1,0
P16,sym,G4SIBA4,SIBA Grupo 4,WXSI4K,16.700000762939453,8.08818244934082,1.0,constv,2,0,0
P16,sym,G4SIBA6,SIBA Grupo 6,WXSI6K,25.0,12.108054161071777,1.0,constv,2,0,0
P16,sym,G4SIBA5,SIBA Grupo 5,WXSI5K,16.700000762939453,8.08818244934082,1.0,constv,2,0,0
P16,sym,G3PINAL2,Pinalito 2,WPIN2K,1.000000013351432e-10,6.00007751816456e-11,1.0490000247955322,constv,1,1,0
P16,sym,G3PINAL1,Pinalito 1,WPIN1K,1.000000013351432e-10,5.933650792933065e-11,1.0490000247955322,constv,1,1,0
