escenario,for_name,loc_name,shtype,ncapa,ncapx,qcapn_Mvar_paso,outserv
P04,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P05,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P05,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P05,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P05,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P05,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P05,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P05,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P05,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P05,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P05,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P05,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P05,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P05,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P05,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P05,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P05,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P05,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P05,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P05,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P05,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P05,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P05,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P05,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P05,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P05,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P05,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P05,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P05,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P05,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P05,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P06,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P06,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P06,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P06,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P06,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P06,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P06,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P06,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P06,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P06,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P06,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P06,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P06,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P06,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P06,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P06,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P06,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P06,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P06,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P06,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P06,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P06,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P06,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P06,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P06,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P06,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P06,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P06,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P06,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P06,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P07,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P07,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P07,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P07,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P07,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P07,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P07,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P07,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P07,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P07,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P07,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P07,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P07,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P07,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P07,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P07,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P07,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P07,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P07,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P07,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P07,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P07,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P07,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P07,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P07,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P07,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P07,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P07,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P07,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P07,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P08,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P08,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P08,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P08,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P08,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P08,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P08,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P08,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P08,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P08,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P08,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P08,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P08,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P08,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P08,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P08,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P08,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P08,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P08,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P08,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P08,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P08,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P08,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P08,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P08,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P08,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P08,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P08,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P08,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P08,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P09,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P09,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P09,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P09,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P09,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P09,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P09,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P09,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P09,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P09,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P09,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P09,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P09,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P09,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P09,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
