escenario,for_name,loc_name,clase,tap_actual,tap_hv,tap_mv,tap_lv,outserv
P01,WCOAPE_WCOA2K-T1,138/34.5 kV Transformador PF Coastal T2,ElmTr2,0,,,,0
P01,WZSANE_WZSANF-T1,138/69 kV Transformador ZF Santiago,ElmTr2,9,,,,0
P01,WBON2E_WBON2F-T1,138/69 kV Transformador Bonao 2,ElmTr2,12,,,,0
P01,WZMONK_WCEMOK-T1,13.8/4.16 kV Transformador CE Monción,ElmTr2,0,,,,0
P01,WMONCE_WMONCK-T2,138/13.8 kV Transformador Monción 2,ElmTr2,2,,,,0
P01,WMONCE_WMONCK-T1,138/13.8 kV Transformador Monción 1,ElmTr2,2,,,,0
P01,WMONCK_WZMONK-T1,13.8/4.16 kV Transformador Zona Monción,ElmTr2,0,,,,0
P01,WPIMEE_WPIM3K-T1,138/13.8 kV Trafo Pimentel Grupo 3,ElmTr2,1,,,,0
P01,WPIMEE_WPIM2K-T1,138/13.8 kV Trafo Pimentel Grupo 2,ElmTr2,1,,,,0
P01,WPIMEE_WPIM1K-T1,138/13.8 kV Trafo Pimentel Grupo 1,ElmTr2,1,,,,0
P01,WCANAE_WCANBF-T2,138/69 kV Transformador 2 Canabacoa,ElmTr2,12,,,,0
P01,WCANAE_WCANBF-T1,138/69 kV Transformador Canabacoa,ElmTr2,16,,,,0
P01,WPPL2E_WPPL2F-T1,138/69 kV Trafo Puerto Plata 2,ElmTr2,12,,,,0
P01,WNAG2E_WNAG2F-T1,138/69 kV Transformador Nagua 2,ElmTr2,14,,,,0
P01,WLANGE_WLANGK-T1,138/13.8 Transformador López Angostura,ElmTr2,0,,,,0
P01,WFALCE_WFALCK-T1,138/34.5 kV Transformador FALCONDO,ElmTr2,5,,,,1
P01,WTAVBE_WBAI1K-T1,12.47/0.44 kV Transfomador 1 Baiguaque,ElmTr2,-3,,,,0
P01,WTAVBE_WBAI2K-T1,34.5/12.47 kV Trafo Jánico,ElmTr2,-3,,,,0
P01,WTAVBE_WTAV2K-T1,138/13.8 kV Transformador Tavera 2,ElmTr2,2,,,,0
P01,WTAVEE_WTAV1K-T1,138/13.8 kV Transformador Tavera 1,ElmTr2,2,,,,0
P01,WFALCF_WFALCK-T1,69/34.5 kV Transformador FALCONDO,ElmTr2,3,,,,1
P01,WSAJ1E_WSAJOK-T1,138/34.5 kV Transformador PF SAJOMA,ElmTr2,0,,,,0
P01,WGUAYE_WPFM1K-T1,138/20 kV Trafo Monte Cristi Solar G1,ElmTr2,3,,,,0
P01,WGUAYE_WPFM2K-T1,138/20 kV Trafo Monte Cristi Solar G2,ElmTr2,3,,,,0
P01,WACLAE_WACLAK-T1,138/34.5 kV Transformador Agua Clara,ElmTr2,2,,,,0
P01,WGNLLE_WGNLLK-T1,138/34.5 kV Transformador Guanillo,ElmTr2,0,,,,0
P01,WSFMAE_WSFMAF-T1,138/69 kV Transformador SFM,ElmTr2,16,,,,0
P01,WLGUZE_WLGUZK-T1,138/34.5 kV Trafo Los Guzmancito,ElmTr2,0,,,,0
P01,WLGUZE_WLGU2K-T1,138/34.5 kV Trafo 2 Guzmancito,ElmTr2,0,,,,0
P01,WMAT1E_WXMATK-T1,138/34.5 kV Transformador MATRISOL,ElmTr2,10,,,,0
P01,WESP1E_WXPS1K-T1,138/34.5 kV Transformador PS Esperanza,ElmTr2,-2,,,,0
P01,WPIMEE_WXPI4K-T1,138/13.8 kV Pimentel 4 T1,ElmTr2,0,,,,0
P01,WTAV2E_WTAVEK-T1,138/34.5 kV Tavera T1,ElmTr2,0,,,,0
P01,WLTOBF_WLTO1K-T1,69/6.9 kV Transformador Los Toros,ElmTr2,0,,,,0
P01,WSYEGF_WSYEGK-T1,69/13.8 kV Transformador Sabana Yegua,ElmTr2,1,,,,0
P01,WSABAF_WSABAK-T1,69/12.5 kV Transformador Sabaneta,ElmTr2,1,,,,0
P01,WMAGUF_WMAGUK-T1,69/22 kV Transformador Magueyal,ElmTr2,0,,,,0
P01,WLDAMF_WLDAMK-T1,69/12.5 kV Transformador Las Damas,ElmTr2,-1,,,,0
P01,WDRODK_WDRODL-T1,12.47/4.16 kV Trafo Domingo Rodríguez,ElmTr2,0,,,,0
P01,WDRODF_WDRODK-T1,69/12.47 kV Trafo Domingo Rodríguez,ElmTr2,0,,,,0
P01,WSCANF_WSCANK-T1,69/34.5 kV Transformador Canoa Solar,ElmTr2,-1,,,,0
P01,WYAGUF_WXNNAK-T1,69/12.47 kV Nizao-Najayo T1,ElmTr2,0,,,,0
P01,WPIZDF_WXLANK-T1,69/12.47 kV Pizarrete Distribución T1,ElmTr2,0,,,,0
P01,WLUCIF_WXLUCK-T1,69/34.5 kV PF Lucila T1,ElmTr2,2,,,,0
P01,WKQAZE_WKQAZF-T1,138/69 kV Transformador km 15 de Azua,ElmTr2,11,,,,0
P01,WHAINE_WHAIGK-T1,138/13.8 kV Transformador Haina TG,ElmTr2,-1,,,,0
P01,WHAINE_WHAINF-T1,138/69 kV Transformador Haina,ElmTr2,8,,,,0
P01,WVALDE_WVAL2K-T1,138/13.8 kV Transformador Valdesia 2,ElmTr2,1,,,,0
P01,WVALDE_WVAL1K-T1,138/13.8 kV Transformador Valdesia 1,ElmTr2,1,,,,0
P01,WVALDE_WLBARK-T1,138/13.8 kV Transformador Las Barias,ElmTr2,7,,,,0
