planta,dsl,dsl_ruta,modelo,array,origen,n_valores,modelo_encriptado,legible
Planta_Guanillo,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TfunderfWT,IntMat:TfunderfWT,4,1,1
Planta_Guanillo,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TuoveruWT,IntMat:TuoveruWT,8,1,1
Planta_Guanillo,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TfoverfWT,IntMat:TfoverfWT,4,1,1
Planta_Los Guzmancito,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_iqmaxuWT,IntMat:iqmaxuWT,12,1,1
Planta_Los Guzmancito,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_ipmaxuWT,IntMat:ipmaxuWT,12,1,1
Planta_Los Guzmancito,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,12,1,1
Planta_Los Guzmancito,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TuunderuWT,IntMat:TuunderuWT,16,1,1
Planta_Los Guzmancito,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TfunderfWT,IntMat:TfunderfWT,4,1,1
Planta_Los Guzmancito,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TuoveruWT,IntMat:TuoveruWT,8,1,1
Planta_Los Guzmancito,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\Protection.ElmDsl,Grid Protection Model,oarray_TfoverfWT,IntMat:TfoverfWT,4,1,1
Planta_Los Guzmancito,QP and QU limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\QP and QU limitation model.ElmDsl,QP and QU limitation model,oarray_qmaxuu,IntMat:qmaxuu,6,1,1
Planta_Los Guzmancito,QP and QU limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\QP and QU limitation model.ElmDsl,QP and QU limitation model,oarray_qminuu,IntMat:qminuu,6,1,1
Planta_Los Guzmancito,QP and QU limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\QP and QU limitation model.ElmDsl,QP and QU limitation model,oarray_qmaxpp,IntMat:qmaxpp,6,1,1
Planta_Los Guzmancito,QP and QU limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito.ElmComp\QP and QU limitation model.ElmDsl,QP and QU limitation model,oarray_qminpp,IntMat:qminpp,6,1,1
