planta,dsl,dsl_ruta,modelo,array,origen,n_valores,modelo_encriptado,legible
MAN 18V/51/60DDF,Engine,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\MAN 18V/51/60DDF.ElmComp\Engine.ElmDsl,eng_MAN Diesel Engine_v2,oarray_NRGM,IntMat:NRGM,12,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_Ptable,IntMat:Ptable,20,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_Itable,IntMat:Itable,20,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_NRGME,IntMat:NRGME,42,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_deltaME,IntMat:deltaME,42,1,1
Planta_Bayasol,WD3ModuleControl,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\WD3ModuleControl.ElmDsl,WD3ModuleControl,array_DeratingTemp,param,0,1,0
Planta_Bayasol,WD3ModuleControl,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\WD3ModuleControl.ElmDsl,WD3ModuleControl,array_DeratingVDC,param,0,1,0
Planta_Bayasol,WD3ModuleControl,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\WD3ModuleControl.ElmDsl,WD3ModuleControl,array_Vrt_DipProfile,param,0,1,0
Planta_Bayasol,WD3ModuleControl,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\WD3ModuleControl.ElmDsl,WD3ModuleControl,array_Vrt_SwellProfile,param,0,1,0
Planta_Bayasol,WD3ModuleControl,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\WD3ModuleControl.ElmDsl,WD3ModuleControl,array_Vrt_UDeltaIq,param,0,1,0
