for_name,loc_name,ruta,clase,tap_actual,outserv,tap_hv,tap_mv,tap_lv
WHAINE_WHAIGK-T1,138/13.8 kV Transformador Haina TG,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\138/13.8 kV Transformador Haina TG.ElmTr2,ElmTr2,-1,0,,,
WHAINE_WHAINF-T1,138/69 kV Transformador Haina,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\138/69 kV Transformador Haina.ElmTr2,ElmTr2,8,0,,,
WVALDE_WVAL2K-T1,138/13.8 kV Transformador Valdesia 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138/13.8 kV Transformador Valdesia 2.ElmTr2,ElmTr2,1,0,,,
WVALDE_WVAL1K-T1,138/13.8 kV Transformador Valdesia 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138/13.8 kV Transformador Valdesia 1.ElmTr2,ElmTr2,1,0,,,
WVALDE_WLBARK-T1,138/13.8 kV Transformador Las Barias,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138/13.8 kV Transformador Las Barias.ElmTr2,ElmTr2,7,0,,,
WBCARE_WBARCK-T1,138/13.8 kV Transformado Barahona Carbón,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Barahona Carbón.ElmSite\138/13.8 kV Transformado Barahona Carbón.ElmTr2,ElmTr2,-2,0,,,
WBCARE_WBCARF-T1,138/69 kV Transformador Barahona Carbón,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Barahona Carbón.ElmSite\138/69 kV Transformador Barahona Carbón.ElmTr2,ElmTr2,2,0,,,
WJIGUE_WJIG2K-T1,138/13.8 kV Transformador Jigüey 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Jiguey.ElmSite\138/13.8 kV Transformador Jigüey 2.ElmTr2,ElmTr2,0,0,,,
WJIGBE_WJIG1K-T1,138/13.8 kV Transformador Jigüey 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Jiguey.ElmSite\138/13.8 kV Transformador Jigüey 1.ElmTr2,ElmTr2,0,0,,,
WAGUBE_WAGU2K-T1,138/13.8 kV Transformador Aguacate 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite\138/13.8 kV Transformador Aguacate 2.ElmTr2,ElmTr2,2,0,,,
