for_name,loc_name,ruta,P_MW,Q_Mvar,escala,outserv
ZNAGUF-D1,Demanda Nagua,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Nagua/Rosa Julia de la Cruz.ElmSite\Demanda Nagua.ElmLod,21.34000015258789,7.889999866485596,1.0,0
ZRJCRK-D1,SSAA Rosa Julia De La Cruz,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Nagua/Rosa Julia de la Cruz.ElmSite\SSAA Rosa Julia De La Cruz.ElmLod,0.0,0.0,1.0,1
ZAPERF-D1,Demanda Abanico Per,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Abanico Per.ElmLod,11.479999542236328,2.3299999237060547,1.0,0
ZPAYIF-D1,Demanda Payita,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Payita.ElmLod,7.659999847412109,3.0299999713897705,1.0,0
ZRNUEF-D1,Demanda Rincón Nueva,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Rincón Nueva.ElmLod,7.539999961853027,1.8600000143051147,1.0,0
ZLVEGF-D1,Demanda La Vega,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda La Vega.ElmLod,21.260000228881836,5.909999847412109,1.0,0
ZCONSF-D1,Demanda Constanza,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Constanza/El Salto.ElmSite\Demanda Constanza.ElmLod,6.789999961853027,1.3300000429153442,1.0,0
ZESALK-D1,SSAA El Salto,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Constanza/El Salto.ElmSite\SSAA El Salto.ElmLod,0.0,0.0,1.0,1
ZZLVEF-D1,Demanda ZF La Vega,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda ZF La Vega.ElmLod,5.239999771118164,0.4099999964237213,1.0,0
ZERIOF-D1,Demanda El Río,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda El Río.ElmLod,1.7100000381469727,0.20999999344348907,1.0,0
ZLVE1K-D1,SSAA La Vega Grupo 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Diésel La Vega.ElmSite\SSAA La Vega Grupo 1.ElmLod,3.2100000381469727,1.3700000047683716,1.0,0
ZLVE2K-D1,SSAA La Vega Grupo 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Diésel La Vega.ElmSite\SSAA La Vega Grupo 2.ElmLod,0.75,0.3199999928474426,1.0,0
ZCVEGF-D1,Demanda Cervecería Vegana,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Cervecería Vegana.ElmLod,0.6600000262260437,0.07000000029802322,1.0,0
ZLVPEF-D1,Demanda La Vega Per,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda La Vega Per.ElmLod,26.309999465942383,0.18000000715255737,1.0,0
