clase,for_name,loc_name,barra_for_name,barra_loc_name,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_ctrl_av,num_unidades,outserv,ref_slack
genstat,G3PFMARA,PF Maranatha,WMARAK,Terminal Maranatha,0.0,0.0,1.0,constq,2,1,0
genstat,G4PFCUM4,PF Cumayasa 4,WXCU4K,Terminal Cumayasa 4,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFCUM2,PF Cumayasa 2,WXCU2K,Terminal PF Cumayasa 2,0.0,0.0,1.0,constq,5,1,0
genstat,G3PFCUM1,PF Cumayasa 1,WXCU1K,Terminal PF Cumayasa 1,0.0,0.0,1.0,constq,9,1,0
genstat,G3ESOCO,El Soco,WXESOK,Terminal Parque Solar El Soco,0.0,0.0,1.0,constq,11,1,0
genstat,G3PFCOT1,PF Cotoperí 1,WCSO1K,Terminal PF Cotoperí 1,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFCOT2,PF Cotoperí 2,WCSO2K,Terminal PF Cotoperí 2,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFCOT3,PF Cotoperí 3,WCSO3K,Terminal PF Cotoperí 3,0.0,0.0,1.0,constq,8,1,0
genstat,G4PFCOA2,PF Coastal G2,WCOA2K,Terminal Coastal 2,0.0,0.0,1.0,constq,6,1,0
genstat,G4PFCOA1,PF Coastal G1,WCOA1K,Terminal Coastal,0.0,0.0,1.0,constq,7,1,0
genstat,G3PFSAJO,Parque Fotovoltaico SAJOMA,WXPFSK,Terminal PF SAJOMA,0.0,0.0,1.0,constq,9,1,0
genstat,G4PFMSO2,Monte Cristi Solar Grupo 2,,R3,0.0,0.0,1.0,constq,12,1,0
genstat,G4PFMSO1,Monte Cristi Solar Grupo 1,,L3,0.0,0.0,1.0,constq,11,1,0
genstat,G3PEACLA,Agua Clara,WACLAK,Terminal Agua Clara,0.12399999797344208,0.0,1.0,constq,25,0,0
genstat,G3PEGUAN,Guanillo,WGNLLK,Terminal Guanillo,0.35679998993873596,0.0,1.0,constq,25,0,0
genstat,G3PELGUZ,Los Guzmancito,WLGUZK,Terminal Los Guzmancito,0.11059000343084335,0.0,1.0,constq,17,0,0
genstat,G3PELGU2,Los Guzmancito 2,WLGU2K,Terminal Los Guzmancito 2,0.18614999949932098,0.0,1.0,constq,13,0,0
genstat,G3PFMATR,Parque Fotovoltaico MATRISOL,WXMATK,Terminal MATRISOL,0.0,0.0,1.0,constq,11,1,0
genstat,G3PSESPE,PS Esperanza,WXPS1K,Terminal 1 Parque Solar Esperanza,0.0,0.0,1.0,constq,18,1,0
genstat,,SBX_20260708_161425_e01931_PV,,1,0.0,0.0,1.0,constq,1,1,0
genstat,,BESS,,1,2.5,0.0,1.0,constq,1,0,0
genstat,G3SCANOA,Solar Canoa,WSCANK,Terminal Canoa Solar,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFLUCI,PF Lucila,WXLUCK,Terminal Lucila,0.0,0.0,1.0,constq,2,1,0
genstat,G3LCOCO2,Los Cocos 2,,R2,0.02346000075340271,3.7975775302179215e-11,1.0,constq,26,0,0
genstat,G3QCABRE,Quilvio Cabrera,,L3,0.06599999964237213,5.007656442290731e-11,1.0,constq,5,0,0
genstat,G3JCOCO1,Juancho Los Cocos 1,,L4,0.010379999876022339,7.080901143208251e-11,1.0,constq,26,0,0
genstat,G3PELARI,Larimar,,L2,0.17399999499320984,3.7975775302179215e-11,1.0,constq,15,0,0
genstat,G3PELAR2,Larimar 2,,R3,0.11714000254869461,3.7975775302179215e-11,1.0,constq,14,0,0
genstat,G3PFLNEG,Parque Fotovoltaico Los Negros,WMRI2K,Terminal Monte Río 2,0.0,0.0,1.0,constq,3,1,0
genstat,G3PFBAYA,Bayasol,WBAYAK,Terminal Bayasol,0.0,0.0,1.0,constq,13,1,0
genstat,G4PSGIR1,Girasol Grupo 1,,L2,0.0,0.0,1.0,constq,12,1,0
genstat,G4PSGIR2,Girasol Grupo 2,,R1,0.0,0.0,1.0,constq,16,1,0
genstat,G3SANTAS,Santanasol,WSANTK,Terminal Santanasol,0.0,0.0,1.0,constq,15,1,0
genstat,G3PFCALA,PF Calabaza 1,WXCA1K,Terminal PF Calabaza 1,0.0,0.0,1.0,constq,17,1,0
genstat,G3PEMAT2,PE Matafongo 2,WMTFNK,Terminal Matafongo,0.07244999706745148,0.0,1.0,constq,3,0,0
genstat,G3PEMATA,PE Matafongo,WMTFNK,Terminal Matafongo,0.027799999341368675,0.0,1.0,constq,17,0,0
genstat,G3PFPER1,PF Peravia I,WPES1K,Terminal Peravia Solar 1,0.0,0.0,1.0,constq,12,1,0
genstat,G3PFPER2,PF Peravia II,WPES2K,Terminal Peravia Solar 2,0.0,0.0,1.0,constq,12,1,0
genstat,G6PEMINA,SA PE Los Mina,WXSALMK,Terminal SA PE Los Mina,1.000000013351432e-10,0.0,1.0,constq,1,0,0
genstat,G6AANDRE,Sistema Almacenamiento AES Andrés,WXBAAK,Terminal BESS AES Andrés,1.000000013351432e-10,0.0,1.0,constq,1,0,0
genstat,G3PFWCA2,PF Washington Capital 2,WXWC2K,Terminal Washington Capital Solar Park 2,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFWCA3,PF Washington Capital 3,WXWC3K,Terminal Washington Capital Solar Park 3,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFVICT,PF La Victoria,WLVICK,Terminal La Victoria,0.0,0.0,1.0,constq,8,1,0
genstat,G3PFMIRA,Mirasol,WMIRAK,Terminal Mirasol,0.0,0.0,1.0,constq,17,1,0
