for_name,loc_name,ruta,barra_for_name,barra_loc_name,barra_kV,shtype,ctech,ncapa,ncapx,qcapn_Mvar_paso,qtotn_Mvar,Q_nominal_en_servicio_Mvar,Q_actual_Mvar,ushnm_kV,iswitch,nodo_control,outserv
ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Capacitor Cruce de Ocoa.ElmShnt,,2,69.0,2,1,1,1,20.0,20.0,20.0,-20.261308663581357,69.0,0,69 kV Cruce de Ocoa,0
WDUVEF-C1,69 kV Duvergé C1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Duvergé C1.ElmShnt,,4,69.0,2,1,1,1,11.399999618530273,11.399999618530273,11.4,-11.115529981702599,69.0,0,69 kV Duvergé,0
ZGIRAK-C1,34.5 kV Capacitor Girasol,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\34.5 kV Capacitor Girasol.ElmShnt,,R3,34.5,2,1,1,3,10.0,10.0,10.0,-9.988656301740837,34.5,0,Terminal Girasol Sec A,0
ZHAIBF-C1,69 kV Capacitor Haina,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\69 kV Capacitor Haina.ElmShnt,,L4,69.0,2,1,1,1,40.0,40.0,40.0,-40.20422760994204,69.0,0,69 kV Haina BP Sec A,0
ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\34.5 kV Capacitor 1 Matafongo.ElmShnt,WMTFNK,Terminal Matafongo,34.5,2,1,1,1,5.0,5.0,5.0,,34.5,0,Terminal Matafongo,1
ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\34.5 kV Capacitor 2 Matafongo.ElmShnt,WMTFNK,Terminal Matafongo,34.5,2,1,1,1,10.0,10.0,10.0,,34.5,0,Terminal Matafongo,1
ZAHONF-C1,69 kV Capacitor Arroyo Hondo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\69 kV Capacitor Arroyo Hondo.ElmShnt,,1,69.0,2,1,1,1,20.0,20.0,20.0,-18.69599498566645,69.0,0,69 kV Arroyo Hondo Sec A,0
ZHNS1F-C1,69 kV Capacitor Hainamosa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\69 kV Capacitor Hainamosa.ElmShnt,,F5,69.0,2,1,1,1,40.0,40.0,40.0,-38.64793379721375,69.0,0,69 kV Hainamosa BP,0
ZHNVAF-C1,69 kV Capacitor Herrera Nueva,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\69 kV Capacitor Herrera Nueva.ElmShnt,,R1,69.0,2,1,1,1,20.0,20.0,20.0,-19.592995504087796,69.0,0,69 kV Herrera Sec A,0
ZABANF-C1,69 kV Capacitor Abanico Per,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Abanico Per.ElmShnt,WAPERF,69 kV Abanico PER,69.0,2,1,1,1,10.0,10.0,10.0,-9.587421610565189,69.0,0,Tap Pimentel,0
ZCONSF-C1,69 kV Capacitor Constanza,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Constanza.ElmShnt,WXCONF,Tap 69 kV BC Constanza,69.0,2,1,1,1,11.420000076293945,11.420000076293945,11.42,-11.448000232794932,69.0,0,69 kV Constanza,0
ZPAYIF-C1,69 kV Capacitor Payita,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Payita.ElmShnt,,WPAYIF(3),69.0,2,1,1,1,10.0,10.0,10.0,-9.577653318062554,69.0,0,69 kV Payita,0
ZPIMEF-C1,69 kV Capacitor Pimentel,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Pimentel.ElmShnt,,5,69.0,2,1,1,1,9.739999771118164,9.739999771118164,9.74,-9.190702857909592,69.0,0,69 kV Pimentel,0
WLVPEF-C1,69 kV La Vega PER C1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV La Vega PER C1.ElmShnt,WXVP2F,69 kV Tap La Vega PER C1_a,69.0,2,1,1,1,20.0,20.0,20.0,-19.861042704772007,69.0,0,,0
WSOSDF-C1,69 kV Sosúa 2 C1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Sosúa 2 C1.ElmShnt,,1,69.0,2,1,1,1,20.0,20.0,20.0,-20.306447090984992,69.0,0,69 kV Sosúa 2,0
